agi,balnce,exempt,wages,agir1,year,taxba
21230,-1689,6600,21240,21,2006.09997558594,708
78490,1527,12800,28190,26,2006,7321
447400,61390,0,0,28,2006,61390
820400,50650,0,95190,29,2006,48810
2833000,66650,0,120700,32,2006,977000
24640,1502,3200,21430,21,2006,2099
1241000,357100,0,192100,30,2006,395900
3665000,481400,0,93630,32,2006,873800
-3307000,-24160,0,146300,0,2006,50
-1488000,0,0,0,0,2006,0
18230,-191,3200,5501,19,2006,698
616200,6939,0,38810,29,2006,91620
208100,6850,6200,15530,28,2006,44450
17710,0,9600,0,18,2006,0
50560,6978,9600,17190,25,2006,3916
4702000,152200,0,4510000,32,2006,1541000
-268500,-40260,3200,0,0,2006,0
348300,-31950,0,0,28,2006,90370
24630,0,6400,0,21,2006,0
211700,-22450,16000,158100,28,2006,26720
115200,-4277,3200,0,27,2006,20170
2778000,-26750,0,926400,32,2006,591100
-3161000,-30880,0,141900,0,2006,0
307,-417,3100,12040,1,2006,0
132900,-610100,6400,394200,27,2006,0
4829,-334,3200,4076,5,2006,0
1588000,-27000,0,853200,31,2006,521100
9546,-88,6400,0,10,2006,0
-675700,-8059,9600,51050,0,2006,0
52910,-2152,3200,0,25,2006,848
1060000,-81920,0,224600,30,2006,302500
49580,-3201,9600,49010,24,2006,4019
17540,-1605,3200,0,18,2006,0
50580,-1139,3200,36550,25,2006,4994
62960,-411,6400,0,25,2006,5761
2136000,-87320,0,303400,32,2006,454100
268800,-45660,3840,161000,28,2006,58670
1666000,-6727,0,0,31,2006,240700
52760000,-9394000,0,2618000,34,2006,12780000
652900,2611,0,429600,29,2006,191200
2119000,-59790,0,77950,32,2006,347700
1323000,-79830,0,370100,30,2006,417000
989700,-25060,0,0,29,2006,18990
3219000,-8771,0,1150000,32,2006,914800
232400,-2342,1920,18010,28,2006,18320
780000,-117400,0,0,29,2006,166000
396800,-45910,0,186800,28,2006,43970
2063000,96990,0,13850,32,2006,678600
1908000,39430,0,105800,31,2006,384700
323000,3497,1024,69440,28,2006,55520
763200,21090,0,147600,29,2006,217300
197400,55000,0,0,27,2006,54370
888800,37540,0,37740,29,2006,281300
595400,135900,0,78200,29,2006,161100
254400,6226,6720,218700,28,2006,50910
1515000,422500,0,134200,31,2006,430100
875600,25720,0,318000,29,2006,249500
362900,98940,0,0,28,2006,89890
30760,2299,9600,0,23,2006,1056
372,-29,3200,0,1,2006,0
312700,12390,1536,0,28,2006,15100
1277000,-96740,0,261700,30,2006,382400
282100,-25600,6144,8575,28,2006,57910
172600,-1585,9600,172400,27,2006,26640
70120,-2658,15500,0,25,2006,4216
65820,-1957,19200,48080,25,2006,3131
24170,-5955,12800,23380,21,2006,136
1775000,-270100,0,276400,31,2006,564500
14160,-942,6200,0,15,2006,81
-1020000,-17820,0,0,0,2006,0
2435,184,3200,0,3,2006,0
315800,-2046,1408,39930,28,2006,68830
24410,-3011,3200,24690,21,2006,756
7791,-1459,9600,0,8,2006,0
2043,7,3200,1179,3,2006,0
2058000,-94450,0,330400,32,2006,177000
683100,-3033,0,0,29,2006,97300
137300,-1176,3200,31400,27,2006,30410
25720,5626,9600,0,22,2006,0
46490,3434,3200,0,24,2006,4546
204800,-148,12800,195100,28,2006,35600
53030,-9808,3200,79150,25,2006,3291
1414000,3883,0,56560,30,2006,251500
43720,-2509,15500,20230,24,2006,558
1902000,636900,0,102100,31,2006,636200
72030,5615,12800,35240,25,2006,4929
487900,-32020,0,105800,28,2006,57060
645500,31690,0,137300,29,2006,151400
-2025,-155,3200,3046,0,2006,0
20850,3169,3100,7184,21,2006,1574
-6766000,36060,0,81600,0,2006,0
0,-30,3300,0,0,2006,0
28240,738,3200,26680,22,2006,2639
13790,-61,3100,7642,14,2006,503
-361700,22720,9600,0,0,2006,0
-5084000,-9674,0,0,0,2006,80
17140,-1049,6400,17130,18,2006,343
153600,4701,6400,95550,27,2006,22270
95580,21810,12800,0,26,2006,7966
-939,0,0,0,0,2006,0
335100,58650,0,75080,28,2006,77790
1998000,20700,0,1924000,31,2006,585200
2709000,-72200,0,0,32,2006,650700
102700,-8648,12400,81590,27,2006,10210
37970,-502,12800,45140,23,2006,1546
456300,-6964,0,96440,28,2006,136000
1041000,89910,0,241700,30,2006,154500
-23630,-5400,16000,53610,0,2006,0
1240000,-21410,0,174100,30,2006,302100
919400,-28870,0,680300,29,2006,244500
2861000,-212100,0,2856000,32,2006,767100
-2855,0,3200,0,0,2006,0
-278000,0,6400,0,0,2006,0
192100,4235,9600,192200,27,2006,34610
-681200,-2545,16000,22680,0,2006,0
380700,71350,0,51860,28,2006,72300
266200,-28170,0,0,28,2006,26930
1486000,-28720,0,0,30,2006,445300
13540,907,0,6148,14,2006,914
1571000,3368,0,0,31,2006,136400
